273,256,3.6059,-86.317
259,241,3.9629,-86.335
270,250,3.8413,-86.272
268,251,3.7256,-86.326
265,247,3.8168,-86.311
271,252,3.5976,-86.269
263,243,3.9535,-86.29
268,249,3.6228,-86.31
271,254,3.9701,-86.325
269,252,3.9066,-86.328
273,254,3.7786,-86.276
270,252,3.8775,-86.33
261,243,3.6395,-86.335
264,246,3.6172,-86.303
273,255,3.5365,-86.314
282,263,3.7987,-86.264
273,254,3.8148,-86.293
267,249,3.64,-86.329
277,259,3.6869,-86.314
270,253,3.7961,-86.325
259,241,3.5428,-86.319
279,259,3.6726,-86.253
264,246,3.6727,-86.33
269,252,3.6926,-86.323
276,258,3.7244,-86.303
272,254,3.5698,-86.317
268,250,3.6718,-86.319
269,251,3.5559,-86.29
264,246,3.7023,-86.316
270,250,3.5744,-86.279
272,255,3.6536,-86.314
272,252,3.6103,-86.265
267,249,3.617,-86.284
267,248,3.7496,-86.272
263,243,3.8426,-86.278
254,237,3.5515,-86.33
270,252,3.8592,-86.309
273,254,3.7839,-86.281
263,245,3.6285,-86.334
278,259,3.5261,-86.253
275,257,3.7973,-86.288
270,251,3.532,-86.289
269,251,3.5637,-86.314
272,255,3.8851,-86.313
280,261,3.7303,-86.269
274,256,3.524,-86.296
275,256,3.8206,-86.296
260,242,3.5248,-86.318
261,244,3.8835,-86.322
263,245,3.8028,-86.32
280,261,3.6995,-86.277
263,245,3.5705,-86.316
262,244,3.8009,-86.313
278,258,3.8883,-86.271
262,242,3.5469,-86.277
275,256,3.8579,-86.297
261,244,3.6087,-86.337
275,256,3.8285,-86.281
260,242,3.8129,-86.309
265,246,3.5904,-86.283
267,249,3.762,-86.316
277,258,3.7209,-86.278
268,250,3.7967,-86.303
268,250,3.5932,-86.314
274,256,3.8773,-86.323
270,253,3.6541,-86.323
269,250,3.5357,-86.308
270,250,3.7897,-86.272
272,253,3.6136,-86.271
274,256,3.8356,-86.274
276,259,3.9423,-86.315
260,241,3.8426,-86.291
261,243,3.7633,-86.326
264,245,3.923,-86.285
273,256,3.8609,-86.324
279,261,3.7329,-86.278
272,253,3.7753,-86.272
279,260,3.9219,-86.277
266,248,3.5196,-86.31
263,245,3.5603,-86.3
276,257,3.5495,-86.285
260,243,3.7276,-86.325
268,250,3.8999,-86.306
259,241,3.8512,-86.311
276,259,3.8047,-86.323
272,253,3.9728,-86.276
274,257,3.9113,-86.308
259,242,3.5291,-86.322
275,256,3.582,-86.284
269,251,3.8601,-86.301
264,244,3.4958,-86.275
262,243,3.8467,-86.274
275,257,3.8403,-86.294
277,259,3.6499,-86.31
279,262,3.9587,-86.319
266,247,3.7837,-86.278
267,249,3.7141,-86.302
282,264,3.8797,-86.287
267,248,3.7022,-86.264
276,257,3.6006,-86.286
266,247,3.6646,-86.278
262,245,3.7906,-86.326
276,257,3.8015,-86.279
273,255,3.6082,-86.296
279,259,3.5024,-86.27
269,251,3.8243,-86.305
260,241,3.7725,-86.287
260,242,3.5395,-86.318
268,250,3.9515,-86.314
271,254,3.893,-86.314
269,251,3.5244,-86.293
264,245,3.9519,-86.27
266,247,3.8266,-86.281
258,241,3.6182,-86.335
262,243,3.7443,-86.28
269,252,3.9479,-86.316
263,245,3.9597,-86.308
276,258,3.8755,-86.324
271,251,3.5167,-86.265
275,256,3.7507,-86.288
266,246,3.7744,-86.277
270,252,3.86,-86.329
261,242,3.887,-86.269
280,263,3.8173,-86.309
274,257,3.6879,-86.313
278,260,3.6805,-86.317
266,246,3.5204,-86.27
265,246,3.689,-86.296
267,247,3.5948,-86.289
275,258,3.8866,-86.312
282,264,3.5833,-86.284
259,242,3.6841,-86.33
273,254,3.6165,-86.272
265,246,3.5047,-86.29
265,245,3.7777,-86.278
274,254,3.6017,-86.267
278,261,3.8225,-86.315
268,250,3.5153,-86.304
269,251,3.5776,-86.297
280,260,3.7529,-86.263
264,247,3.798,-86.327
262,245,3.7637,-86.316
275,256,3.5302,-86.284
264,245,3.5463,-86.309
271,253,3.8733,-86.29
270,250,3.6323,-86.274
278,259,3.5873,-86.271
268,249,3.5812,-86.271
276,256,3.5815,-86.271
265,246,3.8662,-86.287
262,244,3.7521,-86.299
267,248,3.8551,-86.269
274,257,3.7011,-86.32
269,252,3.889,-86.323
270,252,3.9421,-86.298
274,255,3.7346,-86.297
272,253,3.6695,-86.288
268,251,3.7,-86.326
269,250,3.6832,-86.295
271,252,3.8124,-86.273
268,251,3.9574,-86.316
276,257,3.8551,-86.285
279,260,3.7829,-86.271
266,247,3.963,-86.291
282,263,3.7627,-86.26
267,248,3.8511,-86.274
268,250,3.6343,-86.329
266,249,3.9096,-86.33
270,251,3.7955,-86.304
269,250,3.736,-86.265
277,259,3.7083,-86.269
278,259,3.5869,-86.281
262,244,3.9168,-86.327
266,246,3.5372,-86.267
275,255,3.851,-86.263
262,243,3.496,-86.282
263,245,3.5368,-86.314
269,252,3.5636,-86.316
274,256,3.9423,-86.304
266,248,3.8645,-86.293
257,239,3.7648,-86.311
271,251,3.8731,-86.286
266,248,3.7745,-86.318
268,249,3.9247,-86.28
268,251,3.9009,-86.311
277,258,3.889,-86.267
273,254,3.5923,-86.289
277,259,3.8132,-86.3
278,260,3.5351,-86.311
263,244,3.9212,-86.272
268,251,3.84,-86.321
262,244,3.6,-86.323
269,251,3.804,-86.298
258,240,3.5054,-86.304
265,247,3.8814,-86.3
270,251,3.503,-86.286
274,256,3.897,-86.294
